"CocktailId","CocktailName","CanonicalKey","Source","GlassType","TimePeriod","LegacyFlavorProfile","Aesthetic","Build Method","Build Pattern","Cocktail Family","Flavor Profile","Mood","Occasion","Strength","Texture","NotesForReview"
"76","Presbyterian","cocktail_recipe_book::presbyterian","Cocktail Recipe Book","","Classic","Subtle and Spicy","","Built","Long Drink","","","","","Sessionable","",""
"77","Purple Heather","cocktail_recipe_book::purple_heather","Cocktail Recipe Book","","Modern","Sweet and Simple","","","","","","","","","",""
"204","Red Hook (by Enzo Enrico)","cocktail_recipe_book::red_hook_by_enzo_enrico","Cocktail Recipe Book","","Modern","Tart and Spirit-forward","","Stirred","Served Up | Short Drink | Spirit-Forward","","","","","Spirit-Forward","",""
"174","Renaissance","cocktail_recipe_book::renaissance","Cocktail Recipe Book","","Modern","Citrusy and Complex","","","","","","","","","",""
"78","Rob Roy","cocktail_recipe_book::rob_roy","Cocktail Recipe Book","","Classic","Strong and Spirit-forward","","Stirred","Served Up | Short Drink | Simple 3-Ingredient | Spirit-Forward","","Bitter","Sophisticated","","Spirit-Forward","",""
"205","Rock n' Rye","cocktail_recipe_book::rock_n_rye","Cocktail Recipe Book","","Modern","Sweet and Citrusy","","","","","","","","","",""
"146","Rosita","cocktail_recipe_book::rosita","Cocktail Recipe Book","","Modern","Dry and Bitter","","Stirred","Served Up | Short Drink | Spirit-Forward","","Bitter | Herbal","","","Spirit-Forward","",""
"189","Royal Mojito","cocktail_recipe_book::royal_mojito","Cocktail Recipe Book","","Modern","Minty and Refreshing","","Muddled","","","","","","","",""
"147","Rude Cosmopolitan","cocktail_recipe_book::rude_cosmopolitan","Cocktail Recipe Book","","Modern","Fruity and Sweet","","","","","","","","","",""
"105","Rum Caipirinha","cocktail_recipe_book::rum_caipirinha","Cocktail Recipe Book","","Classic","Citrusy and Spirit-forward","","Muddled","","","","","","","",""
"106","Rum Dum","cocktail_recipe_book::rum_dum","Cocktail Recipe Book","","Vintage","Sweet and Refreshing","","","","","","","","","",""
"107","Rum Punch","cocktail_recipe_book::rum_punch","Cocktail Recipe Book","","","Fruity and Sweet","","","","","","","","","",""
"108","Rum Runner","cocktail_recipe_book::rum_runner","Cocktail Recipe Book","","","Sweet and Citrusy","","","Complex Spec | Tiki Multi-Ingredient","","Tropical","","","","",""
"109","Rum Swizzle","cocktail_recipe_book::rum_swizzle","Cocktail Recipe Book","","","Sweet and Citrusy","","Swizzled","Over Crushed Ice","Swizzle","","","","","Icy",""
"79","Rusty Compass","cocktail_recipe_book::rusty_compass","Cocktail Recipe Book","","Modern","Sweet and Spirit-forward","","","","","","","","","",""
"80","Rusty Nail","cocktail_recipe_book::rusty_nail","Cocktail Recipe Book","","Classic","Bitter and Spirit-forward","Classic","Stirred","Served Up | Short Drink | Simple 2-Ingredient | Spirit-Forward","Lowball","Warming","","After Dinner | Nightcap","Spirit-Forward","",""
